id_policy,pol_bonus,pol_coverage,pol_duration,pol_sit_duration,pol_pay_freq,pol_payd,pol_usage,pol_insee_code,drv_drv2,drv_age1,drv_age2,drv_sex1,drv_sex2,drv_age_lic1,drv_age_lic2,vh_age,vh_cyl,vh_din,vh_fuel,vh_make,vh_model,vh_sale_begin,vh_sale_end,vh_speed,vh_type,vh_value,vh_weight,town_mean_altitude,town_surface_area,population,commune_code,canton_code,city_district_code,regional_department_code,claim_amount,made_claim
A00013211-V01,0.5,Maxi,36,6,Biannual,No,Retired,68269,No,77,0,M,,55,0,15,1598,111,Gasoline,RENAULT,SCENIC,16,15,185,Tourism,17517,1260,526,3216,4.8,269,20,5,68,0,0
A00040885-V01,0.5,Maxi,15,5,Yearly,No,WorkPrivate,29019,Yes,52,55,M,F,33,35,12,2184,112,Diesel,NISSAN,ALMERA TINO,12,9,180,Tourism,21500,1480,57,4912,141.3,19,99,1,29,0,0
A00044495-V01,0.5,Mini,16,6,Monthly,No,Professional,13080,No,52,0,M,,34,0,20,2496,112,Diesel,LAND ROVER,DEFENDER,32,19,130,Commercial,23600,2931,257,4488,5.3,80,27,1,13,0,0
A00047266-V01,0.5,Maxi,11,7,Biannual,No,WorkPrivate,10387,No,67,0,M,,46,0,12,1149,75,Gasoline,RENAULT,CLIO,14,12,170,Tourism,13050,930,109,1339,61.2,387,99,3,10,0,0
A00074532-V01,0.5,Median2,16,6,Biannual,No,WorkPrivate,59153,Yes,60,37,M,F,35,14,23,1905,93,Diesel,CITROEN,ZX,23,18,185,Tourism,17974,1035,24,1849,9.7,153,19,6,59,0,0
A00070733-V01,0.5,Mini,12,6,Monthly,No,Professional,6095,No,69,0,M,,51,0,27,2445,73,Diesel,UNIC,DAILY 35,31,26,117,Commercial,23224,0,204,993,7.9,95,25,1,6,0,0
A00067369-V01,0.5,Maxi,6,6,Yearly,No,WorkPrivate,75107,No,49,0,M,,31,0,7,2401,185,Diesel,VOLVO,XC90,10,5,195,Tourism,52500,2043,34,411,57.4,107,21,1,75,0,0
A00090129-V01,0.5,Maxi,15,15,Biannual,No,Retired,3185,No,81,0,M,,62,0,25,1580,93,Gasoline,PEUGEOT,405,28,23,177,Tourism,13515,1020,235,2071,39,185,98,1,3,0,0
A00086461-V01,0.5,Maxi,29,7,Monthly,No,Retired,56260,Yes,77,76,F,M,33,54,13,1587,96,Gasoline,CITROEN,XSARA,14,13,171,Tourism,16600,1315,21,3323,52.7,260,99,3,56,0,0
A00035365-V01,0.5,Maxi,13,6,Monthly,No,Retired,49308,Yes,76,69,M,F,58,42,14,1299,60,Gasoline,FORD,FIESTA,16,13,155,Tourism,9850,930,41,500,2.1,308,23,1,49,0,0
A00074373-V02,0.5,Maxi,15,7,Yearly,No,Retired,68374,Yes,75,72,M,F,53,45,7,1461,86,Diesel,RENAULT,CLIO,10,8,174,Tourism,17450,1175,350,1896,7.6,374,26,2,68,0,0
A00071459-V03,0.5,Median1,14,6,Biannual,No,WorkPrivate,92076,No,58,0,M,,39,0,40,1493,44,Gasoline,VOLKSWAGEN,181,46,44,110,Tourism,2093,900,162,309,8.6,76,11,3,92,0,0
A00004441-V01,0.5,Maxi,5,5,Monthly,No,WorkPrivate,12219,No,59,0,M,,34,0,13,1910,101,Diesel,FIAT,DOBLO,14,12,168,Tourism,15365,1310,575,1754,0.4,219,34,2,12,0,0
